,National №,Type,Species,Height,Weight,Abilities,Local №
Camerupt,323,Fire Ground Fire Ground,Eruption Pokémon,1.9 m (6′03″) 2.5 m (8′02″),220.0 kg (485.0 lbs) 320.5 kg (706.6 lbs),Magma Armor Solid Rock Anger Point Sheer Force,102  205  107  102  205  107 
Torkoal,324,Fire,Coal Pokémon,0.5 m (1′08″),80.4 kg (177.3 lbs),White Smoke Drought Shell Armor,105  096  110  223  287  300 
Spoink,325,Psychic,Bounce Pokémon,0.7 m (2′04″),30.6 kg (67.5 lbs),Thick Fat Own Tempo Gluttony,110  206  007  115 
Grumpig,326,Psychic,Manipulate Pokémon,0.9 m (2′11″),71.5 kg (157.6 lbs),Thick Fat Own Tempo Gluttony,111  207  008  116 
Spinda,327,Normal,Spot Panda Pokémon,1.1 m (3′07″),5.0 kg (11.0 lbs),Own Tempo Tangled Feet Contrary,114  131  119  105  128 
Trapinch,328,Ground,Ant Pit Pokémon,0.7 m (2′04″),15.0 kg (33.1 lbs),Hyper Cutter Arena Trap Sheer Force,116  121  003  121  235  304  321 
Vibrava,329,Ground Dragon,Vibration Pokémon,1.1 m (3′07″),15.3 kg (33.7 lbs),Levitate,117  122  004  122  236  305  322 
Flygon,330,Ground Dragon,Mystic Pokémon,2.0 m (6′07″),82.0 kg (180.8 lbs),Levitate,118  123  005  123  237  306  323 
Cacnea,331,Grass,Cactus Pokémon,0.4 m (1′04″),51.3 kg (113.1 lbs),Sand Veil Water Absorb,119  124 
Cacturne,332,Grass Dark,Scarecrow Pokémon,1.3 m (4′03″),77.4 kg (170.6 lbs),Sand Veil Water Absorb,120  125 
Swablu,333,Normal Flying,Cotton Bird Pokémon,0.4 m (1′04″),1.2 kg (2.6 lbs),Natural Cure Cloud Nine,121  171  246  139  126 
Altaria,334,Dragon Flying Dragon Fairy,Humming Pokémon,1.1 m (3′07″) 1.5 m (4′11″),20.6 kg (45.4 lbs),Natural Cure Cloud Nine Pixilate,122  172  247  140  127  122  172  247  140  127 
Zangoose,335,Normal,Cat Ferret Pokémon,1.3 m (4′03″),40.3 kg (88.8 lbs),Immunity Toxic Boost,123  186  005  128 
Seviper,336,Poison,Fang Snake Pokémon,2.7 m (8′10″),52.5 kg (115.7 lbs),Shed Skin Infiltrator,124  187  006  129 
Lunatone,337,Rock Psychic,Meteorite Pokémon,1.0 m (3′03″),168.0 kg (370.4 lbs),Levitate,125  214  012  130  362 
Solrock,338,Rock Psychic,Meteorite Pokémon,1.2 m (3′11″),154.0 kg (339.5 lbs),Levitate,126  215  013  131  363 
Barboach,339,Water Ground,Whiskers Pokémon,0.4 m (1′04″),1.9 kg (4.2 lbs),Oblivious Anticipation Hydration,127  080  080  040  132  093  113  228 
Whiscash,340,Water Ground,Whiskers Pokémon,0.9 m (2′11″),23.6 kg (52.0 lbs),Oblivious Anticipation Hydration,128  081  081  041  133  094  114  229 
Corphish,341,Water,Ruffian Pokémon,0.6 m (2′00″),11.5 kg (25.4 lbs),Hyper Cutter Shell Armor Adaptability,129  279  051  134  357  102 
Crawdaunt,342,Water Dark,Rogue Pokémon,1.1 m (3′07″),32.8 kg (72.3 lbs),Hyper Cutter Shell Armor Adaptability,130  280  052  135  358  103 
Baltoy,343,Ground Psychic,Clay Doll Pokémon,0.5 m (1′08″),21.5 kg (47.4 lbs),Levitate,131  169  136  310  082 
Claydol,344,Ground Psychic,Clay Doll Pokémon,1.5 m (4′11″),108.0 kg (238.1 lbs),Levitate,132  170  137  311  083 
Lileep,345,Rock Grass,Sea Lily Pokémon,1.0 m (3′03″),23.8 kg (52.5 lbs),Suction Cups Storm Drain,133  138  231 
Cradily,346,Rock Grass,Barnacle Pokémon,1.5 m (4′11″),60.4 kg (133.2 lbs),Suction Cups Storm Drain,134  139  232 
Anorith,347,Rock Bug,Old Shrimp Pokémon,0.7 m (2′04″),12.5 kg (27.6 lbs),Battle Armor Swift Swim,135  140  233 
Armaldo,348,Rock Bug,Plate Pokémon,1.5 m (4′11″),68.2 kg (150.4 lbs),Battle Armor Swift Swim,136  141  234 
Feebas,349,Water,Fish Pokémon,0.6 m (2′00″),7.4 kg (16.3 lbs),Swift Swim Oblivious Adaptability,140  138  138  145  155  189  152 
Milotic,350,Water,Tender Pokémon,6.2 m (20′04″),162.0 kg (357.1 lbs),Marvel Scale Competitive Cute Charm,141  139  139  146  156  190  153 
Castform,351,Normal Fire Water Ice,Weather Pokémon,0.3 m (1′00″),0.8 kg (1.8 lbs),Forecast,142  163  147  181  220  142  163  147  181  220  142  163  147  181  220  142  163  147  181  220 
Kecleon,352,Normal,Color Swap Pokémon,1.0 m (3′03″),22.0 kg (48.5 lbs),Color Change Protean,145  116  150  214 
Shuppet,353,Ghost,Puppet Pokémon,0.6 m (2′00″),2.3 kg (5.1 lbs),Insomnia Frisk Cursed Body,146  210  122  151  316 
Banette,354,Ghost,Marionette Pokémon,1.1 m (3′07″) 1.2 m (3′11″),12.5 kg (27.6 lbs) 13.0 kg (28.7 lbs),Insomnia Frisk Cursed Body Prankster,147  211  123  152  317  147  211  123  152  317 
Duskull,355,Ghost,Requiem Pokémon,0.8 m (2′07″),15.0 kg (33.1 lbs),Levitate Frisk,148  189  153  135 
Dusclops,356,Ghost,Beckon Pokémon,1.6 m (5′03″),30.6 kg (67.5 lbs),Pressure Frisk,149  190  154  136 
Tropius,357,Grass Flying,Fruit Pokémon,2.0 m (6′07″),100.0 kg (220.5 lbs),Chlorophyll Solar Power Harvest,150  185  288  156  354 
Chimecho,358,Psychic,Wind Chime Pokémon,0.6 m (2′00″),1.0 kg (2.2 lbs),Levitate,151  083  083  112  158 
Absol,359,Dark,Disaster Pokémon,1.2 m (3′11″),47.0 kg (103.6 lbs) 49.0 kg (108.0 lbs),Pressure Super Luck Justified Magic Bounce,152  209  216  009  159  245  322  152  209  216  009  159  245  322 
Wynaut,360,Psychic,Bright Pokémon,0.6 m (2′00″),14.0 kg (30.9 lbs),Shadow Tag Telepathy,160  118  167  216 
Snorunt,361,Ice,Snow Hat Pokémon,0.7 m (2′04″),16.8 kg (37.0 lbs),Inner Focus Ice Body Moody,171  206  179  246  323  079 
Glalie,362,Ice,Face Pokémon,1.5 m (4′11″) 2.1 m (6′11″),256.5 kg (565.5 lbs) 350.2 kg (772.1 lbs),Inner Focus Ice Body Moody Refrigerate,172  207  180  247  324  080  172  207  180  247  324  080 
Spheal,363,Ice Water,Clap Pokémon,0.8 m (2′07″),39.5 kg (87.1 lbs),Thick Fat Ice Body Oblivious,173  243  182 
Sealeo,364,Ice Water,Ball Roll Pokémon,1.1 m (3′07″),87.6 kg (193.1 lbs),Thick Fat Ice Body Oblivious,174  244  183 
Walrein,365,Ice Water,Ice Break Pokémon,1.4 m (4′07″),150.6 kg (332.0 lbs),Thick Fat Ice Body Oblivious,175  245  184 
Clamperl,366,Water,Bivalve Pokémon,0.4 m (1′04″),52.5 kg (115.7 lbs),Shell Armor Rattled,176  141  185  140 
Huntail,367,Water,Deep Sea Pokémon,1.7 m (5′07″),27.0 kg (59.5 lbs),Swift Swim Water Veil,177  142  186  141 
Gorebyss,368,Water,South Sea Pokémon,1.8 m (5′11″),22.6 kg (49.8 lbs),Swift Swim Hydration,178  143  187  142 
Relicanth,369,Water Rock,Longevity Pokémon,1.0 m (3′03″),23.4 kg (51.6 lbs),Swift Swim Rock Head Sturdy,179  042  188  262  343 
Luvdisc,370,Water,Rendezvous Pokémon,0.6 m (2′00″),8.7 kg (19.2 lbs),Swift Swim Hydration,183  029  192  111  134 
Bagon,371,Dragon,Rock Head Pokémon,0.6 m (2′00″),42.1 kg (92.8 lbs),Rock Head Sheer Force,187  014  196  117  147 
Shelgon,372,Dragon,Endurance Pokémon,1.1 m (3′07″),110.5 kg (243.6 lbs),Rock Head Overcoat,188  015  197  118  148 
Salamence,373,Dragon Flying Dragon Flying,Dragon Pokémon,1.5 m (4′11″) 1.8 m (5′11″),102.6 kg (226.2 lbs) 112.6 kg (248.2 lbs),Intimidate Moxie Aerilate,189  016  198  119  149  189  016  198  119  149 
Beldum,374,Steel Psychic,Iron Ball Pokémon,0.6 m (2′00″),95.2 kg (209.9 lbs),Clear Body Light Metal,190  262  199  214  278 
Metang,375,Steel Psychic,Iron Claw Pokémon,1.2 m (3′11″),202.5 kg (446.4 lbs),Clear Body Light Metal,191  263  200  215  279 
Metagross,376,Steel Psychic Steel Psychic,Iron Leg Pokémon,1.6 m (5′03″) 2.5 m (8′02″),550.0 kg (1212.5 lbs) 942.9 kg (2078.7 lbs),Clear Body Light Metal Tough Claws,192  264  201  216  280  192  264  201  216  280 
Regirock,377,Rock,Rock Peak Pokémon,1.7 m (5′07″),230.0 kg (507.1 lbs),Clear Body Sturdy,193  202 
Regice,378,Ice,Iceberg Pokémon,1.8 m (5′11″),175.0 kg (385.8 lbs),Clear Body Ice Body,194  203 
Registeel,379,Steel,Iron Pokémon,1.9 m (6′03″),205.0 kg (451.9 lbs),Clear Body Light Metal,195  204 
Latias,380,Dragon Psychic Dragon Psychic,Eon Pokémon,1.4 m (4′07″) 1.8 m (5′11″),40.0 kg (88.2 lbs) 52.0 kg (114.6 lbs),Levitate,196  205  196  205 
Latios,381,Dragon Psychic Dragon Psychic,Eon Pokémon,2.0 m (6′07″) 2.3 m (7′07″),60.0 kg (132.3 lbs) 70.0 kg (154.3 lbs),Levitate,197  206  197  206 
Kyogre,382,Water,Sea Basin Pokémon,4.5 m (14′09″) 9.8 m (32′02″),352.0 kg (776.0 lbs) 430.0 kg (948.0 lbs),Drizzle Primordial Sea,198  207  198  207 
Groudon,383,Ground,Continent Pokémon,3.5 m (11′06″) 5.0 m (16′05″),950.0 kg (2094.4 lbs) 999.7 kg (2204.0 lbs),Drought Desolate Land,199  208  199  208 
Rayquaza,384,Dragon Flying Dragon Flying,Sky High Pokémon,7.0 m (23′00″) 10.8 m (35′05″),206.5 kg (455.3 lbs) 392.0 kg (864.2 lbs),Air Lock Delta Stream,200  209  200  209 
Jirachi,385,Steel Psychic,Wish Pokémon,0.3 m (1′00″),1.1 kg (2.4 lbs),Serene Grace,201  210 
Deoxys,386,Psychic,DNA Pokémon,1.7 m (5′07″),60.8 kg (134.0 lbs),Pressure,202  211  202  211  202  211  202  211 
Turtwig,387,Grass,Tiny Leaf Pokémon,0.4 m (1′04″),10.2 kg (22.5 lbs),Overgrow Shell Armor,001 
Grotle,388,Grass,Grove Pokémon,1.1 m (3′07″),97.0 kg (213.8 lbs),Overgrow Shell Armor,002 
Torterra,389,Grass Ground,Continent Pokémon,2.2 m (7′03″),310.0 kg (683.4 lbs),Overgrow Shell Armor,003 
Chimchar,390,Fire,Chimp Pokémon,0.5 m (1′08″),6.2 kg (13.7 lbs),Blaze Iron Fist,004 
Monferno,391,Fire Fighting,Playful Pokémon,0.9 m (2′11″),22.0 kg (48.5 lbs),Blaze Iron Fist,005 
Infernape,392,Fire Fighting,Flame Pokémon,1.2 m (3′11″),55.0 kg (121.3 lbs),Blaze Iron Fist,006 
Piplup,393,Water,Penguin Pokémon,0.4 m (1′04″),5.2 kg (11.5 lbs),Torrent Defiant,007 
Prinplup,394,Water,Penguin Pokémon,0.8 m (2′07″),23.0 kg (50.7 lbs),Torrent Defiant,008 
Empoleon,395,Water Steel,Emperor Pokémon,1.7 m (5′07″),84.5 kg (186.3 lbs),Torrent Defiant,009 
Starly,396,Normal Flying,Starling Pokémon,0.3 m (1′00″),2.0 kg (4.4 lbs),Keen Eye Reckless,010 
Staravia,397,Normal Flying,Starling Pokémon,0.6 m (2′00″),15.5 kg (34.2 lbs),Intimidate Reckless,011 
Staraptor,398,Normal Flying,Predator Pokémon,1.2 m (3′11″),24.9 kg (54.9 lbs),Intimidate Reckless,012 
Bidoof,399,Normal,Plump Mouse Pokémon,0.5 m (1′08″),20.0 kg (44.1 lbs),Simple Unaware Moody,013 
Bibarel,400,Normal Water,Beaver Pokémon,1.0 m (3′03″),31.5 kg (69.4 lbs),Simple Unaware Moody,014 
Kricketot,401,Bug,Cricket Pokémon,0.3 m (1′00″),2.2 kg (4.9 lbs),Shed Skin Run Away,015 
Kricketune,402,Bug,Cricket Pokémon,1.0 m (3′03″),25.5 kg (56.2 lbs),Swarm Technician,016 
Shinx,403,Electric,Flash Pokémon,0.5 m (1′08″),9.5 kg (20.9 lbs),Rivalry Intimidate Guts,017 
Luxio,404,Electric,Spark Pokémon,0.9 m (2′11″),30.5 kg (67.2 lbs),Rivalry Intimidate Guts,018 
Luxray,405,Electric,Gleam Eyes Pokémon,1.4 m (4′07″),42.0 kg (92.6 lbs),Rivalry Intimidate Guts,019 
Budew,406,Grass Poison,Bud Pokémon,0.2 m (0′08″),1.2 kg (2.6 lbs),Natural Cure Poison Point Leaf Guard,025 
Roserade,407,Grass Poison,Bouquet Pokémon,0.9 m (2′11″),14.5 kg (32.0 lbs),Natural Cure Poison Point Technician,027 
Cranidos,408,Rock,Head Butt Pokémon,0.9 m (2′11″),31.5 kg (69.4 lbs),Mold Breaker Sheer Force,036 
Rampardos,409,Rock,Head Butt Pokémon,1.6 m (5′03″),102.5 kg (226.0 lbs),Mold Breaker Sheer Force,037 
Shieldon,410,Rock Steel,Shield Pokémon,0.5 m (1′08″),57.0 kg (125.7 lbs),Sturdy Soundproof,038 
Bastiodon,411,Rock Steel,Shield Pokémon,1.3 m (4′03″),149.5 kg (329.6 lbs),Sturdy Soundproof,039 
Burmy,412,Bug,Bagworm Pokémon,0.2 m (0′08″),3.4 kg (7.5 lbs),Shed Skin Overcoat,045 
Wormadam,413,Bug Grass Bug Ground Bug Steel,Bagworm Pokémon,0.5 m (1′08″),6.5 kg (14.3 lbs),Anticipation Overcoat Anticipation Overcoat Anticipation Overcoat,046 
Mothim,414,Bug Flying,Moth Pokémon,0.9 m (2′11″),23.3 kg (51.4 lbs),Swarm Tinted Lens,047 
Combee,415,Bug Flying,Tiny Bee Pokémon,0.3 m (1′00″),5.5 kg (12.1 lbs),Honey Gather Hustle,053 
Vespiquen,416,Bug Flying,Beehive Pokémon,1.2 m (3′11″),38.5 kg (84.9 lbs),Pressure Unnerve,054 
Pachirisu,417,Electric,EleSquirrel Pokémon,0.4 m (1′04″),3.9 kg (8.6 lbs),Run Away Pickup Volt Absorb,055 
Buizel,418,Water,Sea Weasel Pokémon,0.7 m (2′04″),29.5 kg (65.0 lbs),Swift Swim Water Veil,056 
Floatzel,419,Water,Sea Weasel Pokémon,1.1 m (3′07″),33.5 kg (73.9 lbs),Swift Swim Water Veil,057 
Cherubi,420,Grass,Cherry Pokémon,0.4 m (1′04″),3.3 kg (7.3 lbs),Chlorophyll,058 
Cherrim,421,Grass,Blossom Pokémon,0.5 m (1′08″),9.3 kg (20.5 lbs),Flower Gift,059 
Shellos,422,Water,Sea Slug Pokémon,0.3 m (1′00″),6.3 kg (13.9 lbs),Sticky Hold Storm Drain Sand Force,060 
Gastrodon,423,Water Ground,Sea Slug Pokémon,0.9 m (2′11″),29.9 kg (65.9 lbs),Sticky Hold Storm Drain Sand Force,061 
Ambipom,424,Normal,Long Tail Pokémon,1.2 m (3′11″),20.3 kg (44.8 lbs),Technician Pickup Skill Link,064 
Drifloon,425,Ghost Flying,Balloon Pokémon,0.4 m (1′04″),1.2 kg (2.6 lbs),Aftermath Unburden Flare Boost,065 
Drifblim,426,Ghost Flying,Blimp Pokémon,1.2 m (3′11″),15.0 kg (33.1 lbs),Aftermath Unburden Flare Boost,066 
Buneary,427,Normal,Rabbit Pokémon,0.4 m (1′04″),5.5 kg (12.1 lbs),Run Away Klutz Limber,067 
Lopunny,428,Normal,Rabbit Pokémon,1.2 m (3′11″) 1.3 m (4′03″),33.3 kg (73.4 lbs) 28.3 kg (62.4 lbs),Cute Charm Klutz Limber Scrappy,068 
Mismagius,429,Ghost,Magical Pokémon,0.9 m (2′11″),4.4 kg (9.7 lbs),Levitate,073 
Honchkrow,430,Dark Flying,Big Boss Pokémon,0.9 m (2′11″),27.3 kg (60.2 lbs),Insomnia Super Luck Moxie,075 
Glameow,431,Normal,Catty Pokémon,0.5 m (1′08″),3.9 kg (8.6 lbs),Limber Own Tempo Keen Eye,076 
Purugly,432,Normal,Tiger Cat Pokémon,1.0 m (3′03″),43.8 kg (96.6 lbs),Thick Fat Own Tempo Defiant,077 
Chingling,433,Psychic,Bell Pokémon,0.2 m (0′08″),0.6 kg (1.3 lbs),Levitate,082 
Stunky,434,Poison Dark,Skunk Pokémon,0.4 m (1′04″),19.2 kg (42.3 lbs),Stench Aftermath Keen Eye,084 
Skuntank,435,Poison Dark,Skunk Pokémon,1.0 m (3′03″),38.0 kg (83.8 lbs),Stench Aftermath Keen Eye,085 
Bronzor,436,Steel Psychic,Bronze Pokémon,0.5 m (1′08″),60.5 kg (133.4 lbs),Levitate Heatproof Heavy Metal,088 
Bronzong,437,Steel Psychic,Bronze Bell Pokémon,1.3 m (4′03″),187.0 kg (412.3 lbs),Levitate Heatproof Heavy Metal,089 
Bonsly,438,Rock,Bonsai Pokémon,0.5 m (1′08″),15.0 kg (33.1 lbs),Sturdy Rock Head Rattled,092 
Mime Jr.,439,Psychic Fairy,Mime Pokémon,0.6 m (2′00″),13.0 kg (28.7 lbs),Soundproof Filter Technician,094 
Happiny,440,Normal,Playhouse Pokémon,0.6 m (2′00″),24.4 kg (53.8 lbs),Natural Cure Serene Grace Friend Guard,096 
Chatot,441,Normal Flying,Music Note Pokémon,0.5 m (1′08″),1.9 kg (4.2 lbs),Keen Eye Tangled Feet Big Pecks,102 
Spiritomb,442,Ghost Dark,Forbidden Pokémon,1.0 m (3′03″),108.0 kg (238.1 lbs),Pressure Infiltrator,108 
Gible,443,Dragon Ground,Land Shark Pokémon,0.7 m (2′04″),20.5 kg (45.2 lbs),Sand Veil Rough Skin,109 
Gabite,444,Dragon Ground,Cave Pokémon,1.4 m (4′07″),56.0 kg (123.5 lbs),Sand Veil Rough Skin,110 
Garchomp,445,Dragon Ground Dragon Ground,Mach Pokémon,1.9 m (6′03″),95.0 kg (209.4 lbs),Sand Veil Rough Skin Sand Force,111 
Munchlax,446,Normal,Big Eater Pokémon,0.6 m (2′00″),105.0 kg (231.5 lbs),Pickup Thick Fat Gluttony,112 
Riolu,447,Fighting,Emanation Pokémon,0.7 m (2′04″),20.2 kg (44.5 lbs),Steadfast Inner Focus Prankster,115 
Lucario,448,Fighting Steel Fighting Steel,Aura Pokémon,1.2 m (3′11″) 1.3 m (4′03″),54.0 kg (119.0 lbs) 57.5 kg (126.8 lbs),Steadfast Inner Focus Justified Adaptability,116 
Hippopotas,449,Ground,Hippo Pokémon,0.8 m (2′07″),49.5 kg (109.1 lbs),Sand Stream Sand Force,122 
Hippowdon,450,Ground,Heavyweight Pokémon,2.0 m (6′07″),300.0 kg (661.4 lbs),Sand Stream Sand Force,123 
Skorupi,451,Poison Bug,Scorpion Pokémon,0.8 m (2′07″),12.0 kg (26.5 lbs),Battle Armor Sniper Keen Eye,127 
Drapion,452,Poison Dark,Ogre Scorp Pokémon,1.3 m (4′03″),61.5 kg (135.6 lbs),Battle Armor Sniper Keen Eye,128 
Croagunk,453,Poison Fighting,Toxic Mouth Pokémon,0.7 m (2′04″),23.0 kg (50.7 lbs),Anticipation Dry Skin Poison Touch,129 
Toxicroak,454,Poison Fighting,Toxic Mouth Pokémon,1.3 m (4′03″),44.4 kg (97.9 lbs),Anticipation Dry Skin Poison Touch,130 
Carnivine,455,Grass,Bug Catcher Pokémon,1.4 m (4′07″),27.0 kg (59.5 lbs),Levitate,131 
Finneon,456,Water,Wing Fish Pokémon,0.4 m (1′04″),7.0 kg (15.4 lbs),Swift Swim Storm Drain Water Veil,134 
Lumineon,457,Water,Neon Pokémon,1.2 m (3′11″),24.0 kg (52.9 lbs),Swift Swim Storm Drain Water Veil,135 
Mantyke,458,Water Flying,Kite Pokémon,1.0 m (3′03″),65.0 kg (143.3 lbs),Swift Swim Water Absorb Water Veil,140 
Snover,459,Grass Ice,Frost Tree Pokémon,1.0 m (3′03″),50.5 kg (111.3 lbs),Snow Warning Soundproof,142 
Abomasnow,460,Grass Ice Grass Ice,Frost Tree Pokémon,2.2 m (7′03″) 2.7 m (8′10″),135.5 kg (298.7 lbs) 185.0 kg (407.9 lbs),Snow Warning Soundproof Snow Warning,143 
Weavile,461,Dark Ice,Sharp Claw Pokémon,1.1 m (3′07″),34.0 kg (75.0 lbs),Pressure Pickpocket,145 
Magnezone,462,Electric Steel,Magnet Area Pokémon,1.2 m (3′11″),180.0 kg (396.8 lbs),Magnet Pull Sturdy Analytic,180  050  071  086  049  056 
Lickilicky,463,Normal,Licking Pokémon,1.7 m (5′07″),140.0 kg (308.6 lbs),Own Tempo Oblivious Cloud Nine,162  181  285  135  376 
Rhyperior,464,Ground Rock,Drill Pokémon,2.4 m (7′10″),282.8 kg (623.5 lbs),Lightning Rod Solid Rock Reckless,188  052  178  266 
Tangrowth,465,Grass,Vine Pokémon,2.0 m (6′07″),128.6 kg (283.5 lbs),Chlorophyll Leaf Guard Regenerator,182  183  218 
Electivire,466,Electric,Thunderbolt Pokémon,1.8 m (5′11″),138.6 kg (305.6 lbs),Motor Drive Vital Spirit,199  058  228  297 
Magmortar,467,Fire,Blast Pokémon,1.6 m (5′03″),68.0 kg (149.9 lbs),Flame Body Vital Spirit,202  055  168  202 
Togekiss,468,Fairy Flying,Jubilee Pokémon,1.5 m (4′11″),38.0 kg (83.8 lbs),Hustle Serene Grace Super Luck,175  259 
Yanmega,469,Bug Flying,Ogre Darner Pokémon,1.9 m (6′03″),51.5 kg (113.5 lbs),Speed Boost Tinted Lens Frisk,184  102  287  088 
Leafeon,470,Grass,Verdant Pokémon,1.0 m (3′03″),25.5 kg (56.2 lbs),Leaf Guard Chlorophyll,169  097  083  129  159  202 
Glaceon,471,Ice,Fresh Snow Pokémon,0.8 m (2′07″),25.9 kg (57.1 lbs),Snow Cloak Ice Body,170  098  084  130  160  203 
Gliscor,472,Ground Flying,Fang Scorp Pokémon,2.0 m (6′07″),42.5 kg (93.7 lbs),Hyper Cutter Sand Veil Poison Heal,154  222  116 
Mamoswine,473,Ice Ground,Twin Tusk Pokémon,2.5 m (8′02″),291.0 kg (641.5 lbs),Oblivious Snow Cloak Thick Fat,205  197  260  078  077 
Porygon-Z,474,Normal,Virtual Pokémon,0.9 m (2′11″),34.0 kg (75.0 lbs),Adaptability Download Analytic,194  219  283 
Gallade,475,Psychic Fighting Psychic Fighting,Blade Pokémon,1.6 m (5′03″),52.0 kg (114.6 lbs) 56.4 kg (124.3 lbs),Steadfast Justified Inner Focus,160  067  032  123  160  067  032  123 
Probopass,476,Rock Steel,Compass Pokémon,1.4 m (4′07″),340.0 kg (749.6 lbs),Sturdy Magnet Pull Sand Force,156  165  094  062  199  255 
Dusknoir,477,Ghost,Gripper Pokémon,2.2 m (7′03″),106.6 kg (235.0 lbs),Pressure Frisk,191  155  137 
Froslass,478,Ice Ghost,Snow Land Pokémon,1.3 m (4′03″),26.6 kg (58.6 lbs),Snow Cloak Cursed Body,208  181  248  325  081 
Rotom,479,Electric Ghost Electric Fire Electric Water Electric Ice Electric Flying Electric Grass,Plasma Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),Levitate,152  068  372  152  068  372  152  068  372  152  068  372  152  068  372  152  068  372 
Uxie,480,Psychic,Knowledge Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),Levitate,146 
Mesprit,481,Psychic,Emotion Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),Levitate,147 
Azelf,482,Psychic,Willpower Pokémon,0.3 m (1′00″),0.3 kg (0.7 lbs),Levitate,148 
Dialga,483,Steel Dragon,Temporal Pokémon,5.4 m (17′09″),683.0 kg (1505.8 lbs),Pressure Telepathy,149 
Palkia,484,Water Dragon,Spatial Pokémon,4.2 m (13′09″),336.0 kg (740.8 lbs),Pressure Telepathy,150 
Heatran,485,Fire Steel,Lava Dome Pokémon,1.7 m (5′07″),430.0 kg (948.0 lbs),Flash Fire Flame Body,—
Regigigas,486,Normal,Colossal Pokémon,3.7 m (12′02″),420.0 kg (925.9 lbs),Slow Start,—
Giratina,487,Ghost Dragon Ghost Dragon,Renegade Pokémon,4.5 m (14′09″) 6.9 m (22′08″),750.0 kg (1653.5 lbs) 650.0 kg (1433.0 lbs),Pressure Telepathy Levitate,210 
Cresselia,488,Psychic,Lunar Pokémon,1.5 m (4′11″),85.6 kg (188.7 lbs),Levitate,—
Phione,489,Water,Sea Drifter Pokémon,0.4 m (1′04″),3.1 kg (6.8 lbs),Hydration,—
Manaphy,490,Water,Seafaring Pokémon,0.3 m (1′00″),1.4 kg (3.1 lbs),Hydration,151 
Darkrai,491,Dark,Pitch-Black Pokémon,1.5 m (4′11″),50.5 kg (111.3 lbs),Bad Dreams,—
Shaymin,492,Grass,Gratitude Pokémon,0.2 m (0′08″) 0.4 m (1′04″),2.1 kg (4.6 lbs) 5.2 kg (11.5 lbs),Natural Cure Serene Grace,—
Arceus,493,Normal,Alpha Pokémon,3.2 m (10′06″),320.0 kg (705.5 lbs),Multitype,—
Victini,494,Psychic Fire,Victory Pokémon,0.4 m (1′04″),4.0 kg (8.8 lbs),Victory Star,000 
Snivy,495,Grass,Grass Snake Pokémon,0.6 m (2′00″),8.1 kg (17.9 lbs),Overgrow Contrary,001 
Servine,496,Grass,Grass Snake Pokémon,0.8 m (2′07″),16.0 kg (35.3 lbs),Overgrow Contrary,002 
Serperior,497,Grass,Regal Pokémon,3.3 m (10′10″),63.0 kg (138.9 lbs),Overgrow Contrary,003 
Tepig,498,Fire,Fire Pig Pokémon,0.5 m (1′08″),9.9 kg (21.8 lbs),Blaze Thick Fat,004 
Pignite,499,Fire Fighting,Fire Pig Pokémon,1.0 m (3′03″),55.5 kg (122.4 lbs),Blaze Thick Fat,005 
Emboar,500,Fire Fighting,Mega Fire Pig Pokémon,1.6 m (5′03″),150.0 kg (330.7 lbs),Blaze Reckless,006 
Oshawott,501,Water,Sea Otter Pokémon,0.5 m (1′08″),5.9 kg (13.0 lbs),Torrent Shell Armor,007 
Dewott,502,Water,Discipline Pokémon,0.8 m (2′07″),24.5 kg (54.0 lbs),Torrent Shell Armor,008 
Samurott,503,Water,Formidable Pokémon,1.5 m (4′11″),94.6 kg (208.6 lbs),Torrent Shell Armor,009 
Patrat,504,Normal,Scout Pokémon,0.5 m (1′08″),11.6 kg (25.6 lbs),Run Away Keen Eye Analytic,010 
Watchog,505,Normal,Lookout Pokémon,1.1 m (3′07″),27.0 kg (59.5 lbs),Illuminate Keen Eye Analytic,011 
Lillipup,506,Normal,Puppy Pokémon,0.4 m (1′04″),4.1 kg (9.0 lbs),Vital Spirit Pickup Run Away,012  022  120  150 
Herdier,507,Normal,Loyal Dog Pokémon,0.9 m (2′11″),14.7 kg (32.4 lbs),Intimidate Sand Rush Scrappy,013  023  121  151 
Stoutland,508,Normal,Big-Hearted Pokémon,1.2 m (3′11″),61.0 kg (134.5 lbs),Intimidate Sand Rush Scrappy,014  024  122  152 
Purrloin,509,Dark,Devious Pokémon,0.4 m (1′04″),10.1 kg (22.3 lbs),Limber Unburden Prankster,015  012  042  044 
Liepard,510,Dark,Cruel Pokémon,1.1 m (3′07″),37.5 kg (82.7 lbs),Limber Unburden Prankster,016  013  043  045 
Pansage,511,Grass,Grass Monkey Pokémon,0.6 m (2′00″),10.5 kg (23.1 lbs),Gluttony Overgrow,017  037  029 
Simisage,512,Grass,Thorn Monkey Pokémon,1.1 m (3′07″),30.5 kg (67.2 lbs),Gluttony Overgrow,018  038  030 
Pansear,513,Fire,High Temp Pokémon,0.6 m (2′00″),11.0 kg (24.3 lbs),Gluttony Blaze,019  039  031 
